id,stock_level,price,name
0,27,1.20,Golden-Delicious
1,15,1.00,Granny-Smith
2,20,1.40,Pink-Lady
3,23,1.10,Red-Delicious
4,30,1.50,Royal-Gala
5,19,2.00,Avocado
6,25,0.50,Banana
7,22,0.90,Kiwi
8,18,0.70,Lemon
9,20,0.80,Lime
10,27,2.50,Mango
11,15,3.00,Cantaloupe
12,16,3.00,Galia-Melon
13,17,2.80,Honeydew-Melon
14,29,3.50,Watermelon
15,24,1.40,Nectarine
16,28,0.90,Orange
17,20,2.70,Papaya
18,15,2.00,Passion-Fruit
19,22,1.30,Peach
20,12,0.80,Anjou
21,18,0.90,Conference
22,15,1.10,Kaiser
23,30,2.50,Pineapple
24,25,1.20,Plum
25,20,1.60,Pomegranate
26,16,1.80,Red-Grapefruit
27,22,0.70,Satsumas
